Region,y1920,y1930,y1940,y1950,y1960,y1970,w
New England,7401,8166,8437,9314,10509,11842,1000
NY NJ PA,22261,26261,27539,30146,34168,37199,1000
Great Lakes,21476,25297,26626,30399,36225,40252,1000
Midwest,12544,13297,13517,14061,15394,16319,1000
South Atlantic,13990,15794,17823,21182,25972,30671,1000
KY TN AL MS,8893,9887,10778,11447,12050,12803,1000
AR L AOK TX,10242,12177,13065,14538,16951,19321,1000
Mountain,3336,3702,4150,5075,6855,8282,1000
Pacific,5567,8195,9733,14486,20339,25454,1000
Alaska,55,59,73,129,226,300,-1000
Hawaii,256,368,423,500,633,769,-1000
